timestamp,current,voltage,resistance,temperature
2024-08-20T22:00:00,1.023e-09,1.000123,9.77e+08,23.1
2024-08-20T22:00:01,1.018e-09,1.000118,9.82e+08,23.2
2024-08-20T22:00:02,1.025e-09,1.000125,9.76e+08,23.0
2024-08-20T22:00:03,1.020e-09,1.000120,9.80e+08,23.1
2024-08-20T22:00:04,1.022e-09,1.000122,9.78e+08,23.3
2024-08-20T22:00:05,1.019e-09,1.000119,9.81e+08,23.1
2024-08-20T22:00:06,1.024e-09,1.000124,9.77e+08,23.2
2024-08-20T22:00:07,1.021e-09,1.000121,9.79e+08,23.0
2024-08-20T22:00:08,1.017e-09,1.000117,9.83e+08,23.1
2024-08-20T22:00:09,1.026e-09,1.000126,9.75e+08,23.2
2024-08-20T22:00:10,1.020e-09,1.000120,9.80e+08,23.3
2024-08-20T22:00:11,1.023e-09,1.000123,9.77e+08,23.1
2024-08-20T22:00:12,1.018e-09,1.000118,9.82e+08,23.0
2024-08-20T22:00:13,1.025e-09,1.000125,9.76e+08,23.2
2024-08-20T22:00:14,1.021e-09,1.000121,9.79e+08,23.1
2024-08-20T22:00:15,1.019e-09,1.000119,9.81e+08,23.3
2024-08-20T22:00:16,1.024e-09,1.000124,9.77e+08,23.0
2024-08-20T22:00:17,1.022e-09,1.000122,9.78e+08,23.2
2024-08-20T22:00:18,1.017e-09,1.000117,9.83e+08,23.1
2024-08-20T22:00:19,1.026e-09,1.000126,9.75e+08,23.3
2024-08-20T22:00:20,1.020e-09,1.000120,9.80e+08,23.0
2024-08-20T22:00:21,1.023e-09,1.000123,9.77e+08,23.2
2024-08-20T22:00:22,1.018e-09,1.000118,9.82e+08,23.1
2024-08-20T22:00:23,1.025e-09,1.000125,9.76e+08,23.3
2024-08-20T22:00:24,1.021e-09,1.000121,9.79e+08,23.0
2024-08-20T22:00:25,1.019e-09,1.000119,9.81e+08,23.2
2024-08-20T22:00:26,1.024e-09,1.000124,9.77e+08,23.1
2024-08-20T22:00:27,1.022e-09,1.000122,9.78e+08,23.3
2024-08-20T22:00:28,1.017e-09,1.000117,9.83e+08,23.0
2024-08-20T22:00:29,1.026e-09,1.000126,9.75e+08,23.2
2024-08-20T22:00:30,1.020e-09,1.000120,9.80e+08,23.1
2024-08-20T22:00:31,1.023e-09,1.000123,9.77e+08,23.3
2024-08-20T22:00:32,1.018e-09,1.000118,9.82e+08,23.0
2024-08-20T22:00:33,1.025e-09,1.000125,9.76e+08,23.2
2024-08-20T22:00:34,1.021e-09,1.000121,9.79e+08,23.1
2024-08-20T22:00:35,1.019e-09,1.000119,9.81e+08,23.3
2024-08-20T22:00:36,1.024e-09,1.000124,9.77e+08,23.0
2024-08-20T22:00:37,1.022e-09,1.000122,9.78e+08,23.2
2024-08-20T22:00:38,1.017e-09,1.000117,9.83e+08,23.1
2024-08-20T22:00:39,1.026e-09,1.000126,9.75e+08,23.3
2024-08-20T22:00:40,1.020e-09,1.000120,9.80e+08,23.0
2024-08-20T22:00:41,1.023e-09,1.000123,9.77e+08,23.2
2024-08-20T22:00:42,1.018e-09,1.000118,9.82e+08,23.1
2024-08-20T22:00:43,1.025e-09,1.000125,9.76e+08,23.3
2024-08-20T22:00:44,1.021e-09,1.000121,9.79e+08,23.0
2024-08-20T22:00:45,1.019e-09,1.000119,9.81e+08,23.2
2024-08-20T22:00:46,1.024e-09,1.000124,9.77e+08,23.1
2024-08-20T22:00:47,1.022e-09,1.000122,9.78e+08,23.3
2024-08-20T22:00:48,1.017e-09,1.000117,9.83e+08,23.0
2024-08-20T22:00:49,1.026e-09,1.000126,9.75e+08,23.2
